眺览 TillGlance|aomnlmcemihejgfkeplljkcelfpneakg
Dark Reader|eimadpbcbfnmbkopoojfekhnkhdbieeh
Header Editor|eningockdidmgiojffjmkdblpjocbhgh
AdGuard Browser Assistant|fbohpolgemkbfphodcfgnpjcmedcjhpn
Vimium C - All by Keyboard|hfjbmagddngcpeloejdejnfgbamkjaeg
SearchJumper|hgepmblbgodbilmfdjkalkgofdcipkhh
YouTube™ dual subtitles|hkbdddpiemdeibjoknnofflfgbgnebcm
Distill Web Monitor|inlikjemeeknofckkjolnjbpehgadgge
Violentmonkey|jinjaccalgkegednnccohejagnlnfdag
Chromium Web Store|ocaahdebbfolfmndjeplogmgcagdmblk|https://raw.githubusercontent.com/NeverDecaf/chromium-web-store/master/updates.xml
Vimium|dbepggeogbaibhgnhhndojpepiihcmeb
Session Buddy|edacconmaakjimmfgnblocblbcdcpbko
Better History|egehpkpgpgooebopjihjmnpejnjafefi
SQLite Editor and Compiler|gikfdibniklcibhonhhdbnfhkmapibid
ClearURLs|lckanjgmijmafbedllaakclkaicjfmnk
Search all Tabs|ndfnfhnlgoocpbbjjjfmiojdfcgcfomn
