Channel Id,Channel Url,Channel Title
UC-7nELDbJEPF3muAzSeT74g,http://www.youtube.com/channel/UC-7nELDbJEPF3muAzSeT74g,Disrupt
UC1DTYW241WD64ah5BFWn4JA,http://www.youtube.com/channel/UC1DTYW241WD64ah5BFWn4JA,Sam O'Nella Academy
UC1ZBQ-F-yktYD4m5AzM6pww,http://www.youtube.com/channel/UC1ZBQ-F-yktYD4m5AzM6pww,Mustard
UC2C_jShtL725hvbm1arSV9w,http://www.youtube.com/channel/UC2C_jShtL725hvbm1arSV9w,CGP Grey
UC2cRwTuSWxxEtrRnT4lrlQA,http://www.youtube.com/channel/UC2cRwTuSWxxEtrRnT4lrlQA,Mediastorm影视飓风
UC3XTzVzaHQEd30rQbuvCtTQ,http://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight
UC3dTTsZFt1bcD0SZumMBzWA,http://www.youtube.com/channel/UC3dTTsZFt1bcD0SZumMBzWA,質男日著 WearLife
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4a-Gbdw7vOaccHmFo40b9g,http://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy
UC5TqGHz9v7KQ0t_nh5RW8BQ,http://www.youtube.com/channel/UC5TqGHz9v7KQ0t_nh5RW8BQ,HereIsAleph_旧闻如是说
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC7IcJI8PUf5Z3zKxnZvTBog,http://www.youtube.com/channel/UC7IcJI8PUf5Z3zKxnZvTBog,The School of Life
UC7SHyyIFS4xIAphC20I4BYw,http://www.youtube.com/channel/UC7SHyyIFS4xIAphC20I4BYw,It Was A Sh*t Show
UC88WrCBH7BJi1je9q5AMf4Q,http://www.youtube.com/channel/UC88WrCBH7BJi1je9q5AMf4Q,Aeon Video
UC9HdhSh_3jFr-am8EOoMxyg,http://www.youtube.com/channel/UC9HdhSh_3jFr-am8EOoMxyg,郝给力
UCAcsAE1tpLuP3y7UhxUoWpQ,http://www.youtube.com/channel/UCAcsAE1tpLuP3y7UhxUoWpQ,Rambalac
UCAq1j-03GRMGCRyQwz4kTMw,http://www.youtube.com/channel/UCAq1j-03GRMGCRyQwz4kTMw,LAO曦子
UCBHtnQGUChkwG1eyWL5EA9g,http://www.youtube.com/channel/UCBHtnQGUChkwG1eyWL5EA9g,ETJ English
UCBa659QWEk1AI4Tg--mrJ2A,http://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott
UCC552Sd-3nyi_tk2BudLUzA,http://www.youtube.com/channel/UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE
UCD6TPU-PvTMvqgzC_AM7_uA,http://www.youtube.com/channel/UCD6TPU-PvTMvqgzC_AM7_uA,The People Profiles
UCFjqAKR9UVS28ucTNuVTexA,http://www.youtube.com/channel/UCFjqAKR9UVS28ucTNuVTexA,ElenaLin_青青
UCGaVdbSav8xWuFWTadK6loA,http://www.youtube.com/channel/UCGaVdbSav8xWuFWTadK6loA,vlogbrothers
UCH4BNI0-FOK2dMXoFtViWHw,http://www.youtube.com/channel/UCH4BNI0-FOK2dMXoFtViWHw,Be Smart
UCHJuQZuzapBh-CuhRYxIZrg,http://www.youtube.com/channel/UCHJuQZuzapBh-CuhRYxIZrg,Insider
UCHdos0HAIEhIMqUc9L3vh1w,http://www.youtube.com/channel/UCHdos0HAIEhIMqUc9L3vh1w,Dorkly
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCL1FpHm41Y16oMgUgwuRoyg,http://www.youtube.com/channel/UCL1FpHm41Y16oMgUgwuRoyg,Our Animated Box
UCLXo7UDZvByw2ixzpQCufnA,http://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,Vox
UCMOqf8ab-42UUQIdVoKwjlQ,http://www.youtube.com/channel/UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering
UCMb3ctshCbbQKImygnWdrZA,http://www.youtube.com/channel/UCMb3ctshCbbQKImygnWdrZA,酱紫表
UCNepEAWZH0TBu7dkxIbluDw,http://www.youtube.com/channel/UCNepEAWZH0TBu7dkxIbluDw,"Dad, how do I?"
UCO8DQrSp5yEP937qNqTooOw,http://www.youtube.com/channel/UCO8DQrSp5yEP937qNqTooOw,Strange Parts
UCOpcACMWblDls9Z6GERVi1A,http://www.youtube.com/channel/UCOpcACMWblDls9Z6GERVi1A,Screen Junkies
UCOrcp--cu4Egwdc07X44btA,http://www.youtube.com/channel/UCOrcp--cu4Egwdc07X44btA,李天豪
UCR1D15p_vdP3HkrH8wgjQRw,http://www.youtube.com/channel/UCR1D15p_vdP3HkrH8wgjQRw,Internet Historian
UCRYGse9KczSVqorHzv-ZnZA,http://www.youtube.com/channel/UCRYGse9KczSVqorHzv-ZnZA,Emma Kok
UCRcgy6GzDeccI7dkbbBna3Q,http://www.youtube.com/channel/UCRcgy6GzDeccI7dkbbBna3Q,LEMMiNO
UCSOpcUkE-is7u7c4AkLgqTw,http://www.youtube.com/channel/UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher]
UCSs4A6HYKmHA2MG_0z-F0xw,http://www.youtube.com/channel/UCSs4A6HYKmHA2MG_0z-F0xw,李永乐老师
UCTH6s1SMIQicvyd8OLBYMtQ,http://www.youtube.com/channel/UCTH6s1SMIQicvyd8OLBYMtQ,4096
UCUGJ-yKqQHl4FSZwUmGpiUg,http://www.youtube.com/channel/UCUGJ-yKqQHl4FSZwUmGpiUg,回形针PaperClip
UCUHW94eEFW7hkUMVaZz4eDg,http://www.youtube.com/channel/UCUHW94eEFW7hkUMVaZz4eDg,minutephysics
UCUcyEsEjhPEDf69RRVhRh4A,http://www.youtube.com/channel/UCUcyEsEjhPEDf69RRVhRh4A,The Great War
UCW6sYevMa3WJta8mMvbzV5w,http://www.youtube.com/channel/UCW6sYevMa3WJta8mMvbzV5w,蕉叔 & Linda
UCWGl1JQoX90LM8hRuRbdFDA,http://www.youtube.com/channel/UCWGl1JQoX90LM8hRuRbdFDA,打首獄門同好会
UCWTFGPpNQ0Ms6afXhaWDiRw,http://www.youtube.com/channel/UCWTFGPpNQ0Ms6afXhaWDiRw,Now You See It
UCWXCrItCF6ZgXrdozUS-Idw,http://www.youtube.com/channel/UCWXCrItCF6ZgXrdozUS-Idw,ExplosmEntertainment
